item_id,month,sales_volume,price,holiday_influence,marketing_spend
6,2022-07,226,11.53,0,1642.73
6,2022-08,307,10.88,1,1222.61
6,2022-09,0,10.8,0,2641.59
6,2022-10,12,19.97,1,3303.99
6,2022-11,124,18.66,1,2031.61
6,2022-12,584,18.21,1,3140.15
6,2023-01,275,12.8,1,1748.17
6,2023-02,340,17.11,0,3944.99
6,2023-03,389,11.15,0,2154.52
6,2023-04,615,15.06,1,2282.57
6,2023-05,408,10.52,0,1537.66
6,2023-06,456,15.49,0,3738.29
6,2023-07,33,12.55,0,4040.91
6,2023-08,275,14.72,0,2395.47
6,2023-09,254,18.51,1,2634.07
6,2023-10,349,17.31,1,1724.93
6,2023-11,84,19.26,1,1192.38
6,2023-12,498,11.4,1,1806.51
6,2024-01,435,18.25,0,1942.77
6,2024-02,300,15.23,0,4508.8
6,2024-03,338,16.83,0,3855.13
6,2024-04,510,14.63,0,3990.44
6,2024-05,292,15.77,0,2565.93
6,2024-06,599,15.44,1,3496.95
6,2024-07,384,14.32,0,3922.2
6,2024-08,18,11.39,1,3480.29
6,2024-09,180,15.73,1,4009.61
6,2024-10,287,17.44,0,3279.56
6,2024-11,59,14.94,1,1411.66
6,2024-12,546,11.11,1,1509.95
7,2022-01,333,15.02,0,2945.43
7,2022-02,646,17.22,1,3564.59
7,2022-03,592,15.66,1,3396.12
7,2022-04,470,11.82,1,3333.57
7,2022-05,349,14.24,0,3459.8
7,2022-06,267,15.86,0,3445.82
7,2022-07,60,17.26,0,1408.85
7,2022-08,200,17.9,0,3605.47
7,2022-09,0,13.74,0,1309.28
7,2022-10,272,18.4,1,1491.24
7,2022-11,150,19.85,1,1498.65
7,2022-12,362,13.32,0,1909.58
7,2023-01,548,13.99,0,2340.79
7,2023-02,658,17.88,0,1457.07
7,2023-03,593,15.37,1,2385.38
7,2023-04,532,14.81,1,3348.27
7,2023-05,592,14.52,0,1705.55
7,2023-06,329,14.19,1,2449.58
7,2023-07,12,12.78,0,1850.72
7,2023-08,25,11.78,1,1594.65
7,2023-09,0,18.61,0,1737.85
7,2023-10,203,15.95,0,3999.84
7,2023-11,328,18.0,0,2872.93
7,2023-12,354,10.37,0,3259.36
7,2024-01,267,12.94,1,3110.59
7,2024-02,335,14.01,0,1620.96
7,2024-03,634,13.34,0,4012.98
7,2024-04,488,12.71,0,2634.94
7,2024-05,336,19.79,1,4467.98
7,2024-06,57,10.27,0,1924.3
7,2024-07,392,15.06,0,2357.08
7,2024-08,105,11.79,0,1952.73
7,2024-09,367,18.05,1,3412.79
7,2024-10,178,18.3,0,3672.34
7,2024-11,447,12.93,1,1052.01
7,2024-12,412,17.36,1,1491.11
8,2022-01,552,15.83,0,4570.69
8,2022-02,525,16.25,0,4300.43
8,2022-03,444,15.9,0,3496.6
8,2022-04,644,17.74,0,4444.27
8,2022-05,604,19.48,1,1560.45
8,2022-06,351,15.66,1,2884.26
8,2022-07,173,14.25,0,2074.71
8,2022-08,0,16.99,0,1872.09
8,2022-09,227,18.35,1,3102.76
8,2022-10,0,16.91,0,4290.34
8,2022-11,77,11.18,0,2096.22
8,2022-12,66,14.05,0,3880.81
8,2023-01,266,10.11,0,4600.07
8,2023-02,356,17.32,0,3532.39
8,2023-03,658,11.75,1,2675.08
8,2023-04,412,15.19,0,1665.13
8,2023-05,512,11.84,0,4083.94
8,2023-06,78,13.89,0,2422.69
8,2023-07,62,17.22,0,4797.23
8,2023-08,31,16.64,1,3930.29
8,2023-09,138,12.7,0,1648.06
8,2023-10,120,10.51,0,3387.37
8,2023-11,150,17.71,0,1300.55
8,2023-12,166,14.13,1,3393.14
8,2024-01,274,12.46,1,4197.66
8,2024-02,394,19.68,0,1412.37
8,2024-03,450,10.92,1,1547.27
8,2024-04,552,16.91,0,1346.82
8,2024-05,329,18.73,1,4226.24
8,2024-06,264,17.24,0,4922.31
8,2024-07,38,16.47,0,1206.38
8,2024-08,2,10.39,1,4700.99
8,2024-09,256,15.56,0,2251.42
8,2024-10,211,16.97,0,4697.58
8,2024-11,264,19.44,0,4448.17
8,2024-12,472,14.55,0,3578.19
9,2022-01,163,15.96,0,1482.27
9,2022-02,320,18.85,0,2764.13
9,2022-03,713,15.72,1,3153.61
9,2022-04,631,17.38,0,2707.27
9,2022-05,257,12.33,0,4480.4
9,2022-06,463,10.0,0,2535.86
9,2022-07,145,17.99,1,2402.85
9,2022-08,322,10.89,0,2919.13
9,2022-09,221,18.74,1,4073.09
9,2022-10,285,13.36,0,3929.09
9,2022-11,126,11.1,0,2148.96
9,2022-12,373,17.16,0,2109.06
9,2023-01,586,19.88,0,2537.31
9,2023-02,666,11.24,1,4191.96
9,2023-03,776,15.89,1,4536.8
9,2023-04,566,14.67,0,1668.14
9,2023-05,201,10.65,0,4351.3
9,2023-06,359,16.08,0,1922.68
9,2023-07,175,13.84,0,4829.08
9,2023-08,252,13.5,0,4876.41
9,2023-09,26,15.18,0,3100.13
9,2023-10,355,13.96,1,3784.08
9,2023-11,165,18.97,0,3491.75
9,2023-12,430,15.37,0,3320.34
9,2024-01,247,14.57,0,2091.84
9,2024-02,351,18.89,1,4448.51
9,2024-03,358,13.29,1,3940.85
9,2024-04,448,14.08,0,2039.02
9,2024-05,538,10.49,0,4848.49
9,2024-06,225,16.83,0,4404.83
9,2024-07,0,18.83,0,4626.05
9,2024-08,199,13.48,0,3262.93
9,2024-09,86,17.34,0,4472.64
9,2024-10,68,18.51,1,3833.45
9,2024-11,412,12.39,1,1423.34
9,2024-12,204,17.53,0,4523.48
10,2022-01,563,14.65,1,1020.58
10,2022-02,482,13.35,1,1643.04
10,2022-03,705,15.56,1,2034.75
10,2022-04,672,12.87,0,4924.74
10,2022-05,166,11.16,0,1036.29
10,2022-06,414,17.8,0,4044.11
10,2022-07,123,14.32,1,2568.6
10,2022-08,211,19.32,0,4748.91
10,2022-09,301,17.71,1,1665.51
10,2022-10,0,10.67,0,2383.53
10,2022-11,169,10.46,1,4893.96
10,2022-12,334,14.46,0,3377.58
10,2023-01,256,10.66,1,2487.33
10,2023-02,638,17.7,0,2783.61
10,2023-03,779,14.69,1,1408.77
10,2023-04,361,15.27,1,2193.5
10,2023-05,437,10.82,0,3618.04
10,2023-06,176,18.68,1,1125.21
10,2023-07,70,19.1,1,4858.08
10,2023-08,123,12.74,1,2637.34
10,2023-09,329,17.24,1,1801.44
10,2023-10,157,17.15,0,2886.13
10,2023-11,0,19.68,0,4474.49
10,2023-12,358,11.54,0,3121.42
10,2024-01,348,16.26,0,1130.1
10,2024-02,538,19.68,0,2848.39
10,2024-03,471,11.17,0,3742.26
10,2024-04,450,15.58,0,1643.3
10,2024-05,363,15.82,0,4190.24
10,2024-06,444,19.84,0,2858.39
10,2024-07,369,13.96,1,3887.55
10,2024-08,0,16.95,1,4119.4
10,2024-09,341,17.24,1,1583.69
10,2024-10,0,19.87,0,2995.55
10,2024-11,35,12.1,0,4103.22
10,2024-12,291,13.26,0,1351.47
