item_id,month,sales_volume,price,holiday_influence,marketing_spend,original_price,price_noise,sales_volume_noise,holiday_influence_noise
8,2024-05,814,$15.23,1,3065.2,17.26,-0.11763257190200865,1.0912865394447437,False
1,2024-09,286,14.32,0,-,14.32,,0.9471132530877013,False
8,2024-06,102,$10.47,1,3553.08,11.83,-0.11523928214246108,1.052922332237432,False
6,01-01-2024,0,13.7,0,4713.27,13.7,,1.0534118843043578,False
4,2024-09,649,19.72,0,2007.13,19.72,,1.0143098736299034,False
5,2024-07,443,19.41,0,3071.01,19.41,,0.8361159080217633,False
3,01-08-2024,490,14.27,0,4442.92,14.27,,1.1341209982356952,False
2,2024-03,431,15.21,1,4378.14,15.21,,0.9283120259886943,False
6,2024-04,221,12.81,0,,12.81,,0.8746074041599416,False
3,01-06-2024,324,13.56,1,2088.53,13.56,,0.8163100566219056,True
10,2024-05,405,$13.46,0,-,12.98,0.036989438048267376,1.0363571772752966,False
1,2024-06,345,$20.15,1,3056.94,17.85,0.1289092957027719,1.071025744736913,False
4,2024-10,39,14.48,1,3370.79,14.48,,0.8066351315711424,False
7,2024-06,208,19.3,0,1835.67,19.3,,1.0048372233197125,False
6,2024-05,0,19.95,0,2118.24,19.95,,0.8905983100791752,False
7,2024-10,115,12.16,0,1341.39,12.16,,1.05806911616378,False
3,01-10-2024,373,14.28,0,1431.57,14.28,,0.8697465716019965,False
2,01-11-2024,298,$10.66,1,4088.98,10.75,-0.008335522451415223,1.0763750952409863,False
8,"Oct 01, 2024",350,17.63,1,2385.22,17.63,,0.954694138520215,False
9,2024-07,744,$14.22,1,3708.67,16.36,-0.1309324949141929,1.174691995494694,False
1,2024-02,230,$12.58,0,3721.23,14.67,-0.14237426197677144,0.8550083776583973,False
2,2024-09,571,13.12,1,3186.84,13.12,,0.9364265404201034,False
8,2024-08,435,11.94,0,3798.05,11.94,,0.8453894084962357,False
1,"Dec 01, 2024",738,19.7,1,-,19.7,,1.169877447311425,False
2,2024-01,444,12.71,1,2427.01,12.71,,1.1509357413523924,False
4,"Aug 01, 2024",563,$12.69,0,,12.19,0.04092312337913412,0.9031766510860623,False
10,2024-02,378,12.13,1,4125.18,12.13,,1.0639936184136716,False
1,2024-10,247,10.47,1,1931.09,10.47,,1.1268888800804864,False
7,2024-11,552,$14.17,1,3599.86,15.02,-0.05670530348530134,1.022080324639785,False
10,01-04-2024,699,16.8,1,1952.94,16.8,,1.0118602313424025,False
8,2024-11,128,18.55,1,-,18.55,,0.8967409163601807,False
5,2024-09,91,$15.89,0,minimum,16.33,-0.026885123089311083,0.8372411071223597,False
5,2024-06,706,11.38,1,1453.89,11.38,,1.1588863031813308,False
7,2024-01,118,$10.08,0,4355.73,11.55,-0.12690602705136209,1.1601672228653321,False
4,2024-06,199,17.98,0,-,17.98,,1.0532405829093072,False
7,2024-07,0,10.31,0,-,10.31,,0.9356119164194803,False
6,2024-10,663,17.44,1,2232.24,17.44,,0.9396838298450644,False
10,01-07-2024,0,14.48,0,-,14.48,,1.0903822715480957,False
7,01-02-2024,267,10.94,0,1143.77,10.94,,1.1588441039810309,True
8,01-07-2024,0,10.14,0,1184.01,10.14,,1.154834569706047,False
4,2024-01,262,16.1,0,-,16.1,,1.1119502183430496,False
5,2024-03,51,19.74,0,-,19.74,,1.0568126584617152,False
5,2024-11,413,15.12,0,3580.69,15.12,,0.8336559859980195,False
9,2024-08,183,$16.54,0,3182.47,16.43,0.006819848814598212,0.8646514856378456,False
5,"Feb 01, 2024",346,$18.00,0,2489.13,16.69,0.07823551458506922,1.1594216754108317,True
7,2024-09,488,13.59,0,4237.44,13.59,,1.042571623863836,False
3,"Dec 01, 2024",233,$11.25,0,1873.76,11.05,0.01838315927084888,0.8036788206466519,False
10,01-03-2024,366,19.03,0,4305.83,19.03,,0.8405886171464129,False
5,2024-04,259,16.92,0,1897.08,16.92,,1.0654007076432224,False
6,2024-06,449,15.9,1,2946.97,15.9,,0.8020246335384875,False
9,2024-05,57,13.19,1,-,13.19,,0.8643232205669995,False
4,01-02-2024,456,$10.06,0,4771.64,11.2,-0.10163361382379868,1.0194935157466345,False
3,2024-02,471,$20.54,0,2641.53,19.08,0.0766653415629146,1.0767580790770772,False
10,2024-01,87,16.77,1,2972.1,16.77,,1.0607845038010402,False
1,2024-08,216,11.56,0,1232.33,11.56,,0.8897077237842239,False
5,01-01-2024,318,18.17,1,-,18.17,,1.0848716885390144,False
2,2024-06,35,17.9,1,4705.2,17.9,,0.89489963499872,False
1,2024-04,313,13.34,0,,13.34,,0.9301598792637071,False
2,2024-04,90,10.64,0,2300.73,10.64,,1.0985965620472098,False
9,01-11-2024,0,$11.70,0,,11.96,-0.021737694492435122,1.0598531596188858,False
9,2024-01,372,16.16,0,-,16.16,,1.1396893641976713,False
8,2024-09,298,10.78,0,-,10.78,,1.0630451569201373,False
10,2024-06,438,$20.49,0,2693.88,19.68,0.04126724140656393,1.0273234413341887,False
7,2024-12,616,13.23,1,1546.49,13.23,,0.837469907131237,False
8,2024-04,385,$11.26,0,2734.08,10.41,0.0812901539863683,0.9470863212237735,False
7,"May 01, 2024",3,$16.79,0,4311.48,15.37,0.09243611386932507,0.9060809470726902,False
10,2024-12,334,10.56,1,3183.66,10.56,,0.8975958573516334,False
2,2024-05,101,10.06,1,3827.43,10.06,,1.1892042219009782,True
6,2024-09,297,10.18,1,1715.29,10.18,,0.9572390898667041,False
6,2024-08,430,$10.81,0,4744.62,11.69,-0.07521233125533751,1.1568186220708454,False
9,01-06-2024,386,12.61,0,3771.56,12.61,,1.0524554503989052,False
2,2024-12,737,10.31,1,,10.31,,1.1179245214166593,False
8,2024-01,96,10.48,0,1634.59,10.48,,1.001054837242077,False
5,"Aug 01, 2024",384,15.41,0,,15.41,,1.0307615538505437,False
9,2024-12,150,16.26,1,3605.94,16.26,,0.9970070775275456,False
